Conversation_ID,Attacker_Helper,Victim,Conversation_Type
wNsWdbpeld,"Hello, this is John from the bank. I am calling to confirm a recent transaction on your account. Can you please verify your account number for me?","Sure, but before that, can you please confirm which bank you are calling from and what transaction are you referring to?",0
wNsWdbpeld,"I understand your concern, but for security reasons, I am not able to disclose any details until we verify your account. Can you please provide me with your account number?","I apologize, but as a precaution, I prefer not to disclose any personal details on the phone. Can I call back directly to the bank's customer support line to confirm this transaction?",0
wNsWdbpeld,"I completely understand your concern, but the customer service line has a long waiting time. We can quickly verify this transaction on this call if you provide me with your account number. I assure you that this call is legitimate.","I appreciate your offer to help, but I am not comfortable providing my account number over the phone. Can you snail-mail me the verification form or email the details to me?",0
wNsWdbpeld,"We do not have any snail-mail or email verification form. I am sorry for the inconvenience. However, for faster resolution, we need to verify the transaction on this call. I guarantee this is a legitimate call.","I understand, but I am still uncomfortable providing my account number over the phone. Can you please provide me with a reference number so that I can confirm with the bank's customer service on my own?",0
wNsWdbpeld,"Sure, I can provide you with a reference number. Please note it down. The reference number is XYZ123. You may confirm with the bank's customer service at any time.","Thank you, I appreciate it. I will confirm with the bank's customer service using this reference number. Have a good day!",0
x0pSxAQx1K0abm,"Hello, this is the IRS calling. Our records show that you owe $5,000 in taxes. If you don't pay now, we will have to take legal action against you.",Oh no! I had no idea. Can you give me some more information about this?,1
x0pSxAQx1K0abm,"Yes, of course. We need you to pay immediately or face serious consequences. Can you provide your credit card number so we can process the payment?","I'm sorry, but I don't feel comfortable giving out my credit card information over the phone. Can you send me a letter or email with more information and instructions on how to pay?",1
x0pSxAQx1K0abm,"I'm sorry, we can't do that. The situation is urgent and we need payment now. If you don't pay, we will send the police to your house.",I still can't give you my credit card information. Can you give me your name and badge number so I can verify that you're really from the IRS?,1
x0pSxAQx1K0abm,My name is John Smith and my badge number is 1234. Now can you please give me your credit card information?,"I'm sorry, but I don't believe you. I'm going to hang up now and call the IRS directly to verify this information.",1
x0pSxAQx1K0abm,"No, wait! Don't do that! You're making a big mistake! We are the IRS and we need your payment now!","Sorry, but I won't be giving out any personal information over the phone. Goodbye.",1
I8QHkmsq5AdwAq,"Hello, this is XYZ bank. Can I speak with John Smith please?","This is John Smith speaking, may I know why are you calling?",0
I8QHkmsq5AdwAq,We noticed some suspicious activities in your account and wanted to verify a few transactions with you.,"Oh, thank you for letting me know. What transactions are you referring to?",0
I8QHkmsq5AdwAq,There were some large purchases made from your account in the last few days. Can you confirm if you made those transactions?,"No, I didn't make any large purchases. Can you please give me more details?",0
I8QHkmsq5AdwAq,We would like to confirm your account details to verify the transactions. Can you please provide us with your account number and social security number?,"I'm sorry, but I'm not comfortable sharing my personal information over the phone. Can't you verify it some other way?",0
I8QHkmsq5AdwAq,"Yes, we understand your concern. You can come to our branch and verify your account details in person. We will also freeze your account temporarily to avoid any further fraudulent activities.",Thank you for letting me know. I will come to the branch as soon as possible.,0
v9vN0BYTWa0e16,"Hello, this is John from the IRS. Your tax returns from the last year have been flagged for errors. I need you to give me your social security number to fix this issue.","I'm sorry, I don't believe you. Can you give me your employee ID number?",1
v9vN0BYTWa0e16,"Yes, of course. My ID number is 753164.","I'm sorry, but I think this is a scam. I will report your number to the authorities.",1
pVeYjXj2DelffL,"Hello, this is John from your bank. May I speak to Mr. Smith?",Speaking. This is Mr. Smith. What can I help you with?,0
pVeYjXj2DelffL,"Hi, Mr. Smith. I'm calling to verify a suspicious transaction on your account. Did you make a purchase of $500 in a different state?","No, I didn't. Thank you for letting me know. What do I need to do next?",0
pVeYjXj2DelffL,We'll freeze the transaction and block your card for now. I'll send a replacement card to your address. Please confirm your address.,That sounds good. My address is 123 Main St.,0
pVeYjXj2DelffL,"Thank you, Mr. Smith. Just to confirm, can you please answer a couple of security questions?","Sure, go ahead.",0
pVeYjXj2DelffL,What is your mother's maiden name?,It's Johnson.,0
pVeYjXj2DelffL,Great. What was the name of your first pet?,It was Spot.,0
pVeYjXj2DelffL,Thanks for your cooperation. We will send you an email with the details of the transaction and the steps you need to follow.,Thanks. I appreciate it.,0
pVeYjXj2DelffL,"No problem, Mr. Smith. Just be sure to monitor your other accounts and report any suspicious activity.",I will. Thanks for your help.,0
pVeYjXj2DelffL,You're welcome. Have a good day!,You too!,0
42e0AXIkESKc6y,"Hello, is this 123-456-7891?","Yes, who is this?",1
42e0AXIkESKc6y,"I am calling from the IRS and you owe us money. If you don't pay right now, you will be arrested.",I don't believe you. Can you prove that you are really from the IRS?,1
42e0AXIkESKc6y,"Yes, I can provide you with my badge number and a case ID. But you need to pay now to avoid any trouble.",I am not comfortable giving you any money over the phone. Can I call you back?,1
42e0AXIkESKc6y,"No, you cannot call me back. This is an urgent matter and you must pay now.","I am sorry, but I don't believe you are legitimate. I am ending this call now.",1
vk2TK8MFd0hoZg,"Hello, this is John from the bank. I'm calling in regards to some recent suspicious activity on your account.","Oh my, is everything alright?",0
vk2TK8MFd0hoZg,"Yes, we just need to verify a few things to ensure the security of your account. Can you please confirm your full name and date of birth?","Sure, my name is Sarah Johnson and my date of birth is January 1st, 1985.",0
vk2TK8MFd0hoZg,"Thank you, Sarah. Now can you confirm the last 4 digits of your social security number?","Um, I don't feel comfortable giving that out over the phone.",0
vk2TK8MFd0hoZg,"I understand your concern, but we need to verify our records to ensure the safety of your account. It's completely understandable to be cautious and you can call the number on the back of your card to verify that this call is legitimate. Our records show your last transaction was at the grocery store yesterday for $50, is that correct?","Yes, that's correct.",0
vk2TK8MFd0hoZg,"Great, thank you for verifying. Is there anything else I can help you with?","No, that's all. Thank you for your time and for keeping my account safe.",0
vk2TK8MFd0hoZg,"You're welcome, Sarah. Have a great day.","You too, John.",0
YX24MIG7RJy5zD,Hello there! Am I speaking with Mr. John Doe?,"Yes, this is John. Who is this?",1
YX24MIG7RJy5zD,This is Tony from your bank. I just wanted to confirm if you made a purchase of $5000 yesterday.,"No, I did not make any such purchase. Why do you ask?",1
YX24MIG7RJy5zD,"Okay, in that case, we need you to confirm your account details for security reasons.",I don't feel comfortable giving out my account details over the phone. Can't you send me an email instead?,1
YX24MIG7RJy5zD,"I'm sorry, we can't send an email right now due to some technical issues. It's urgent that we confirm your account details now.","I'm sorry, I'm not comfortable with that. Can you please give me your name and contact information so I can call you back later?",1
YX24MIG7RJy5zD,"I'm sorry, I can't do that. It's important that we confirm your account details now. Please cooperate with me.","I'm sorry, but I can't do that. I think this is a scam call and I'm going to hang up now.",1
YX24MIG7RJy5zD,"No, wait! This is not a scam call. Please listen to me.","I'm sorry, but I can't take risks with my account details. Thanks for calling, but I'm going to hang up now.",1
YX24MIG7RJy5zD,"Wait, I'm telling the truth. Please don't hang up. Hello? Hello?",Click.,1
VH7eX10lAQbZOV,"Hello, this is the IRS. We noticed that you owe back taxes and are at risk of being arrested if you do not pay immediately.","I'm sorry, but I don't think that's true. I always pay my taxes on time.",1
VH7eX10lAQbZOV,"I'm sorry sir, but if you do not pay right now, we will have the police come to your house to arrest you.",I think I'll need to check with the IRS first. Can I get your name and badge number so I can verify your identity?,1
VH7eX10lAQbZOV,"My name is John Smith, and my badge number is 123456.","Okay, I'll give you a call back after I verify with the IRS. Thank you for your time.",1
VH7eX10lAQbZOV,"Wait, don't hang up! I can make this all go away if you just pay the amount owed now!","No thank you, I need to confirm with the IRS first. Goodbye.",1
VBwnvERVuU3jv9,"Hello, this is John from the bank. I need to confirm some account information with you.","Ok, sure. What do you need?",0
VBwnvERVuU3jv9,Can I have your account number and social security number please?,I don't feel comfortable giving that over the phone. Can I confirm this with the bank in person?,0
VBwnvERVuU3jv9,"No, this is the quickest way to confirm. We need to make sure there isn't any fraud happening with your account.","I understand, but I still don't feel comfortable giving out that information over the phone.",0
VBwnvERVuU3jv9,I completely understand. Can you please verify your name and address for me instead?,"Yes, my name is Jane Doe and my address is 123 Main Street.",0
VBwnvERVuU3jv9,Thank you. I can see that we have an overdue balance on your account. Are you able to pay that today?,"Oh no, I wasn't aware of that. How much is the balance?",0
VBwnvERVuU3jv9,It is $500. Can I get your credit card information to make the payment?,I don't feel comfortable giving my credit card information over the phone. Can I log into my account and make the payment online?,0
VBwnvERVuU3jv9,"Yes, absolutely. Here is the link to our website. Please make sure to use a secure password and change it frequently.","Thank you, I appreciate your help. I will make the payment online now.",0
VBwnvERVuU3jv9,Great. Is there anything else I can assist you with today?,"No, that's all. Thank you for your help.",0
VBwnvERVuU3jv9,You're welcome. Have a great day!,You too. Goodbye.,0
1gJHIiw7AGlHxH,"Hello, this is the IRS. We have detected fraudulent activity on your account.","Oh, really? Can you provide me with some more information?",1
1gJHIiw7AGlHxH,"Yes, we need your social security number to verify your identity and resolve the issue.","I'm sorry, but I don't feel comfortable giving out that information over the phone.",1
1gJHIiw7AGlHxH,"It's alright, sir. We just need to confirm your information to protect your account from further damage.","I appreciate your concern, but I still can't give out my social security number. Is there any other way we can proceed?",1
1gJHIiw7AGlHxH,"I understand your concerns, sir. We can offer you a discount on your taxes if you provide your social security number over the phone.",That sounds very suspicious. I'm going to hang up now and report this call to the authorities.,1
dhC60vW5zGGrBh,"Hello, this is John from the bank. Am I speaking with Mr. Brown?","Yes, this is Mr. Brown speaking.",0
dhC60vW5zGGrBh,"Great, Mr. Brown. Your account was flagged for suspicious activity, can you confirm your account number?","Sure, it's 12345678.",0
dhC60vW5zGGrBh,"Thank you, Mr. Brown. Can you also verify your social security number for security purposes?","No, I won't give out that information over the phone. I'll come to the bank in person to verify my account.",0
dhC60vW5zGGrBh,"Okay, I completely understand. Please visit the bank at your earliest convenience. Have a nice day!","Thank you, you too.",0
P33JhzIm5n0CKJ,"Hello, this is John from the IRS. There is an issue with your taxes and we need to verify some information.",Oh really? I haven't received any notice from the IRS. Can you tell me more about the issue?,1
P33JhzIm5n0CKJ,"Yes, we have noticed some discrepancies in your tax filings and we need you to confirm your personal information to clear up the issue.","I'm sorry, but I don't feel comfortable giving out my personal information over the phone. Can you send me a letter with more details?",1
P33JhzIm5n0CKJ,"I understand your concern, but we need to get this issue resolved as soon as possible. Can you please confirm your full name, Social Security number, and date of birth?","I'm sorry, but I still don't feel comfortable giving out that information. Is there anything else I can do to clear up this issue?",1
P33JhzIm5n0CKJ,"I'm afraid not. If you don't cooperate, we will have to issue a warrant for your arrest. This is a serious matter.",That sounds like a threat. I think I will hang up now and contact the IRS directly to verify if this is a legitimate call. Goodbye.,1
apkhRgE6hC9wmP,"Hello, this is John from the bank. May I speak with the account holder?","Yes, this is the account holder speaking.",0
apkhRgE6hC9wmP,I'm calling today to confirm a recent transaction made on your account. Did you recently purchase a large amount of electronics online?,"No, I haven't made any large electronics purchases recently. Is there something wrong with my account?",0
apkhRgE6hC9wmP,"Yes, we've noticed some suspicious activity on your account and want to make sure it wasn't fraud. Can you verify some personal information for me?","Wait, am I being scammed right now? Can you prove to me that you're actually from my bank?",0
apkhRgE6hC9wmP,"Of course, I completely understand your concerns. Please call the number on the back of your credit card or visit our website to verify that I'm calling from the bank. Thank you for your time today.","Thank you, I'll do that right now. Goodbye.",0
YM3nwQw0gSfbnZ,"Hello, this is your bank calling. We noticed some suspicious activity on your account. Can you provide your account number and password so we can investigate further?","I'm sorry, I don't feel comfortable giving out my account information over the phone.",1
YM3nwQw0gSfbnZ,"Oh, I understand your concerns. But I assure you, we're just trying to protect your account. Can't you just give me your account number and password for confirmation?","No, I'm sorry. I won't give out my information to someone I don't know over the phone.",1
YM3nwQw0gSfbnZ,"Come on, don't you trust your own bank? We need to confirm your identity to prevent any fraudulent activity.","I trust my bank, but I won't give out sensitive information over the phone. Can you give me your name and a number where I can call you back?",1
YM3nwQw0gSfbnZ,"My name is John Smith and I'm calling from your bank. But I don't have a direct number, I'm calling from our main line.","I'm sorry, but I still won't give out my information over the phone. Can you send me an email or a letter with more information about this suspicious activity?",1
YM3nwQw0gSfbnZ,"I understand your concerns, but can't you just give me your account number without the password? It will help us investigate faster.","No, I won't give out any information over the phone. I need to make sure you're really calling from my bank. Can you tell me my full name and address on file?",1
YM3nwQw0gSfbnZ,"Uh, I don't have that information on hand right now. But I can tell you we're calling from the same area code as your bank's branch.","I'm sorry, but that's not enough. I'll call my bank's customer service line directly to confirm any suspicious activity on my account. Thank you for calling, goodbye.",1
uXNxDlpVfr8Dpe,"Hello, this is John from ABC Bank. May I speak with Mr. Smith?",This is Mr. Smith speaking. How can I help you?,0
uXNxDlpVfr8Dpe,"Hi, Mr. Smith. We have noticed a suspicious transaction on your account. Can you confirm if you made a purchase for $500 at XYZ store yesterday?","No, I did not make any purchase yesterday. Please take necessary action to secure my account.",0
uXNxDlpVfr8Dpe,"Sure, Mr. Smith. We will block your card and issue a new one. Please do not share your account details with anyone in future.",Thank you for informing me. I appreciate your prompt action.,0
uXNxDlpVfr8Dpe,"You're welcome, Mr. Smith. Have a good day.",Thank you. Goodbye.,0
Zk3DoagWgnSmN2,"Hello, this is the Internal Revenue Service. We have noticed some discrepancies in your tax filings. You owe us $5000 and we require payment immediately.","I'm sorry, I don't believe this is the IRS. Can you provide me with a badge number or some other form of identification?",1
Zk3DoagWgnSmN2,"Yes, my badge number is IRM1234. Now, please provide me with your social security number and date of birth so we can proceed with the payment.","I'm sorry, but I still don't feel comfortable sharing that information over the phone. Can you provide me with another way to verify your identity?",1
Zk3DoagWgnSmN2,"Yes, we can verify my identity by you providing me with your credit card information to make the payment. Now, please give me your credit card number, expiration date, and security code.","No, I will not give you my credit card information. This sounds like a scam and I will be reporting this to the authorities.",1
u3L31YZ7Z2Udyh,"Hello, this is John from your bank. Can I confirm your account details?","Uh, sure. What exactly do you need?",0
u3L31YZ7Z2Udyh,I just need your account number and your security code to make sure everything is okay with your account.,"I'm sorry, but I don't feel comfortable giving out my information over the phone. Can I call back and speak to someone else?",0
XCnpcRXoEXxFDi,"Hello, this is the IRS. We have detected fraudulent activity on your account. Please provide us with your social security number and bank account information to resolve this issue.","I'm sorry, but I don't believe you are the IRS. I will not be providing you with any personal information.",1
XCnpcRXoEXxFDi,"Ma'am, we are trying to help you. If you do not provide us with your information, we will have to take legal action.",I'm afraid that is fine. I will verify with the IRS directly if there are any issues with my account.,1
OHJFQTvA2eXtsV,"Hello, this is John from the bank, we have detected a suspicious activity on your account. Can you please provide me with your account details for verification purposes?","I'm sorry, I don't feel comfortable giving out my account details over the phone. Can you please provide me with your name and phone number?",1
OHJFQTvA2eXtsV,"Yes, my name is John Smith and my phone number is 123-456-7890. And I understand your concerns, but it's our policy to verify the account holder's details for security purposes.","I appreciate that, but I still don't feel comfortable giving out my personal details over the phone. Can you please send me an email or message with more information about this issue?",1
OHJFQTvA2eXtsV,"I understand your concerns, but I'm afraid we have to resolve this issue as soon as possible. Can you please provide me with your account details so we can verify your identity and resolve the issue?","I'm sorry, but I still don't feel comfortable giving out my personal details over the phone. I'll contact the bank directly and verify this information myself. Thank you for your time.",1
ijjvKqXwm1uzRp,"Hello, this is John from the bank. May I please confirm your account details?","Sure, what do you need to know?",0
ijjvKqXwm1uzRp,I just need your account number and your password to confirm your identity.,"I'm sorry, I can't provide that information over the phone. Can't you just verify me with my personal details?",0
ijjvKqXwm1uzRp,"I understand your concerns but for security purposes, we need to confirm your account number and password. Can you please provide that information?",I'm not comfortable with that. Can't I verify it in person at one of your branches?,0
ijjvKqXwm1uzRp,"I'm sorry, but we need to confirm your account details over the phone for security purposes. If you're not comfortable providing the information, you can come to one of our branches and verify there.","Okay, I understand. Let me think about it and get back to you.",0
ijjvKqXwm1uzRp,"Sure, take your time. Just remember to never share your personal information over the phone if you're not completely sure who you're talking to.",Thanks for the advice. I appreciate it.,0
pcsUKEOVzeG79z,"Hello, this is the IRS calling. You owe us money and if you don't pay immediately you'll be arrested.","Sorry, I don't believe you. The IRS would never call me like this.",1
pcsUKEOVzeG79z,You need to pay immediately or we will take legal action.,I'm not giving you any money. This is a scam.,1
pcsUKEOVzeG79z,"No sir, it's not a scam. Please trust me and pay us immediately.",I'm hanging up now. Stop calling me.,1
v9I7ynXfpIqXhv,"Hello, this is Jane from XYZ Bank. May I speak with John?",This is John speaking.,0
v9I7ynXfpIqXhv,We would like to confirm a transaction made on your account. Did you recently make a purchase for $500 in California?,"No, I did not make that purchase. Please cancel it immediately.",0
v9I7ynXfpIqXhv,Thank you for letting us know. We will cancel the transaction and issue you a new card. Please remember to never share your personal or account information with anyone over the phone.,Thank you for your help. I will remember that.,0
mljp0dzncTjyJC,"Hello, is this 555-1234?","Yes, who is this?",1
mljp0dzncTjyJC,This is John from the IRS. We have noticed some discrepancies in your tax filings and need your personal information to verify your account. Can you provide your social security number?,"No, I will not give out my personal information over the phone. Is this a scam?",1
mljp0dzncTjyJC,"No, it's not a scam. We just need to verify your account to make sure everything is okay. Can you please provide your credit card information instead?",I'm not giving you any personal information. I'm hanging up now.,1
mljp0dzncTjyJC,Wait! Don't hang up! We are not a scam. We just need to verify your account. Can you give us your mother's maiden name?,"No, I'm not giving you any information. I'm hanging up now.",1
mljp0dzncTjyJC,"Please, just give me your bank account information so we can verify your account. It will only take a minute.",I'm not giving you anything. Goodbye!,1
mljp0dzncTjyJC,"Alright, alright. It was worth a try. Have a nice day!",You too. Goodbye.,1
fXw4WhVAnbp3ku,"Hello, this is the IRS. We have detected fraudulent activity on your tax account. You owe back taxes and if you don't pay immediately, we will send the authorities to your home.","I'm sorry, are you sure you have the right person? I haven't received any notification from the IRS about this.",1
fXw4WhVAnbp3ku,"Yes, we have your information right here. You need to pay immediately or face serious consequences.",Can you give me a reference number or something so I can verify this is legitimate?,1
fXw4WhVAnbp3ku,"Uh, hold on a second... Let me find that for you...","Okay, I'll wait.",1
fXw4WhVAnbp3ku,"Here it is: 894306. Now, you need to pay the amount of $5,000 to settle this issue.",I'm really not comfortable giving you my credit card information over the phone. Can I just pay online?,1
fXw4WhVAnbp3ku,"No, you have to pay immediately over the phone. This is very serious and we can't wait.",I think I'd like to speak to someone else at the IRS to verify this information before I make any payments.,1
fXw4WhVAnbp3ku,You don't need to speak to anyone else. This is your only chance to take care of the issue.,"I'm sorry, but I'm not convinced this is legitimate. I'm going to hang up now.",1
fXw4WhVAnbp3ku,"Wait, don't hang up! You can't just ignore this. We will continue to call you until you pay!","I'm sorry, but I have to hang up now. This doesn't seem right to me.",1
jRFKmmpv4swkjA,Hello?,Hello?,0
jRFKmmpv4swkjA,"Hi, this is John from your bank. I just wanted to verify some recent transactions on your account, can I confirm your personal information?","Um, okay? What information do you need?",0
jRFKmmpv4swkjA,"Great, can you please confirm your account number and your mother's maiden name?","Uh, yeah sure. My account number is 123456789 and my mother's maiden name is Johnson.",0
jRFKmmpv4swkjA,Thank you. I can see some suspicious activity on your account. Can you please confirm if you made a $500 purchase at a jewelry store in New York yesterday?,"No, I didn't make any such purchase.",0
jRFKmmpv4swkjA,"Okay, I'm going to cancel that transaction and freeze your account for security reasons. Can you please come to the bank with your ID to verify your identity?","Sure, I'll do that right away.",0
jRFKmmpv4swkjA,"Thank you, and remember to always be cautious and never give out personal information over the phone unless you're absolutely sure who you're talking to.","I will, thanks for telling me about this.",0
6RizIpWcgZX7Zv,"Hello, this is the IRS. We have noticed some irregular activity on your tax account. Can you confirm your social security number?","I'm sorry, I don't feel comfortable giving out my social security number over the phone. Can you please provide me with more information?",1
6RizIpWcgZX7Zv,"Yes, of course. We have found that there were some unpaid taxes that need to be settled. If you don't provide your social security number, we won't be able to give you any additional information.","I appreciate your concern, but I still don't feel comfortable providing my social security number over the phone. Perhaps we can arrange a meeting in person at a local IRS office?",1
6RizIpWcgZX7Zv,"I'm sorry, but that won't be possible. Our system is currently down and we need to settle this issue over the phone. If you don't provide your social security number, we will have to take legal action against you.","I understand your situation, but I still cannot provide my social security number. I will contact the IRS directly and settle this issue through official channels. Goodbye.",1
JChPEezbDCofKV,"Hello, this is John from your bank. Can I confirm your account number?","Yes, it's 1234567890.",0
JChPEezbDCofKV,"Thank you. We noticed some unusual activity on your account. Did you make a purchase for $5,000 in another state?","No, I didn't make any purchases like that.",0
JChPEezbDCofKV,"Okay, we will need to freeze your account temporarily and investigate this. Please don't give out any personal information to anyone claiming to be from our bank.","Okay, thank you for letting me know.",0
sI6b86g1inABwB,"Hello, this is the IRS calling regarding an outstanding tax debt. You need to pay immediately to avoid legal consequences.","Oh no, I had no idea. How much is the debt?",1
sI6b86g1inABwB,"The debt is $10,000. You can pay through gift cards or wire transfer.",That sounds suspicious. Can you provide me with more information and a callback number?,1
sI6b86g1inABwB,I cannot give out personal information. You need to pay now.,I think I will call the IRS directly to confirm this. Goodbye.,1
lsKrBxs40s6siq,"Hello, this is John calling from your bank. We have noticed some suspicious activity on your account.","Oh, really? Can you tell me what kind of activity?",0
lsKrBxs40s6siq,"Yes, there have been multiple withdrawals made in different cities which we find unusual. To verify it was you, can you please confirm your date of birth?","Sure, my date of birth is 01/01/1985.",0
lsKrBxs40s6siq,Thank you. Now can you please confirm the last four digits of your social security number?,"Uh, I'm not comfortable giving that information over the phone. How do I know you're really calling from my bank?",0
lsKrBxs40s6siq,I completely understand your concern. You can call the number on the back of your debit card to verify that it's me calling.,"Okay, I will do that. Thank you.",0
lsKrBxs40s6siq,"No problem, have a great day!",You too.,0
S53naYObeZqPHW,"Hello, this is the IRS. We need to discuss your tax returns from the past year.","Um, okay. What do you need to discuss?",1
S53naYObeZqPHW,We have reason to believe you have not paid the correct amount and there is an outstanding balance. We need to collect payment as soon as possible or legal action will be taken.,I don't recall receiving any notification about this. Can you give me more details?,1
S53naYObeZqPHW,We sent multiple letters to your address but they were returned as undeliverable. We can take payment over the phone to resolve this issue.,I'm a bit hesitant about giving my information over the phone. Can I have your name and number to call back?,1
S53naYObeZqPHW,"My name is John Smith and my number is 555-1234, but I urge you to call back as soon as possible to resolve this matter before it escalates.","Okay, I will call back once I've had a chance to gather more information. Thank you for letting me know.",1
OS6dP0SUxrOJVh,"Hello, this is John from the bank. Am I speaking with Mr. Smith?","Yes, this is Mr. Smith.",0
OS6dP0SUxrOJVh,I'm calling to inform you about suspicious activity on your account. Have you authorized any large transactions recently?,"No, I haven't authorized any large transactions.",0
OS6dP0SUxrOJVh,We suspect someone may have accessed your account. Can you please confirm your account information with me so we can verify your identity?,"Okay, what information do you need from me?",0
OS6dP0SUxrOJVh,We just need your account number and your social security number.,I'm not comfortable giving out that information over the phone.,0
OS6dP0SUxrOJVh,"I understand your concern, but we need to make sure your account is secure. Can you please verify your name and address instead?","Sure, my name is John Smith and my address is 123 Main Street.",0
OS6dP0SUxrOJVh,Thank you for verifying your identity. We will investigate the suspicious activity on your account and get back to you.,"Okay, thank you for letting me know.",0
OS6dP0SUxrOJVh,"Just to confirm, please do not give out any sensitive information over the phone in the future. We will always verify your identity before asking for any personal information.","Okay, I will be more careful in the future. Thank you for your help.",0
OS6dP0SUxrOJVh,"You're welcome. Have a good day, Mr. Smith.","Thank you, you too.",0
NEZqV2Nxr2wK6l,"Good afternoon, may I speak to Ms. Smith?",This is she.,1
NEZqV2Nxr2wK6l,"Great, Ms. Smith. I'm calling from the IRS and we noticed some suspicious activity on your tax returns.","Oh no, that doesn't sound good. How can I fix this?",1
NEZqV2Nxr2wK6l,We need you to pay a fine of $500 immediately or you will be arrested.,"Wait, what? That doesn't sound right. Can you give me your badge number?",1
NEZqV2Nxr2wK6l,"Uh, um, my badge number is 12345.",I don't think that's accurate. I'm going to hang up and call the IRS directly to see what's going on.,1
NEZqV2Nxr2wK6l,"No, wait! You need to pay the fine right away or you will be in big trouble!","Sorry, I don't trust unsolicited phone calls. Goodbye.",1
HQwINne9HQdXQK,"Hello, this is John from the bank. Can I speak to Mr. Smith?","Yes, this is Mr. Smith.",0
HQwINne9HQdXQK,"Thank you, Mr. Smith. I'm calling to inform you of a suspicious transaction on your account. Did you authorize a payment of $500 to an unknown recipient?","No, I didn't.",0
HQwINne9HQdXQK,"Alright, we need to block your card immediately to prevent further unauthorized transactions. Can you confirm the last four digits of your card number?","Sure, it's 1234.",0
HQwINne9HQdXQK,"Thank you, Mr. Smith. I have blocked your card and initiated the fraud claim process. You should receive a new card in the mail within five business days. Is there anything else I can help you with?","No, that's all. Thank you for your help.",0
HQwINne9HQdXQK,"You're welcome. And remember, never disclose personal or financial information to anyone who calls you out of the blue, even if they claim to be from the bank. Always call back the official number on the back of your card to verify the legitimacy of the call.",I will. Thanks for the advice.,0
zUmF9zQFglEXkn,"Hello, is this John Smith?","Yes, who is this?",1
zUmF9zQFglEXkn,This is the IRS and we've noticed some discrepancies on your tax return. You owe us money and we need your credit card information to process the payment.,That sounds like a scam. I'm not giving you any information.,1
zUmF9zQFglEXkn,"Sir, this is a serious matter. Failure to comply will result in legal action.",I'm not falling for this. Goodbye.,1
zUmF9zQFglEXkn,Wait! Don't hang up! I can offer you a payment plan.,"No, I'm not interested. Stop calling me.",1
zUmF9zQFglEXkn,"But sir, you have to pay your taxes. It's the law.",I know my rights. Goodbye.,1
zUmF9zQFglEXkn,"Fine, be that way. You'll regret it.",I don't think so. Goodbye.,1
zUmF9zQFglEXkn,"Hello, is this John Smith?","Yes, who is this?",1
zUmF9zQFglEXkn,This is the IRS and we've noticed some discrepancies on your tax return. You owe us money and we need your credit card information to process the payment.,I already told you I'm not giving you any information. Stop calling me.,1
zUmF9zQFglEXkn,"Sir, this is a serious matter. Failure to comply will result in legal action.",I'm done with this conversation. Goodbye.,1
zUmF9zQFglEXkn,"Alright, alright. I give up. Goodbye.",Good riddance.,1
z9NNfcsC9dZEQb,"Hello, this is Jane from your bank. I wanted to verify some recent transactions on your account.","Oh, okay. Can you tell me what transactions you're referring to?",0
z9NNfcsC9dZEQb,"Yes, we have a charge for $500 at a department store that we wanted to confirm with you.","No, I didn't make that purchase. Please cancel it and send me a new card.",0
